childCode	Label	parentCode	Label
!Xu (Q5508716)	Khoisan [Other] (khi) (khi, Q3361)
"Norman" Tasmanian (Q454030)	Northeastern Tasmanian (Q705806)
Juǀʼhoan (ktz) (ktz, Q247874)	Kx'a (Q645058)
Jèrriais (Guernsey) (nrf-GG) (nrf-GG, Q5642)	Jèrriais (nrf) (nrf, Q3385)
Jèrriais (Jersey) (nrf-JE) (nrf-JE, Q5643)	Jèrriais (nrf) (nrf, Q3385)
Jèrriais (Sark) (nrf-CQ) (nrf-CQ, Q5642)	Jèrriais (nrf) (nrf, Q3385)
Jèrriais (nrf) (nrf, Q3385)	Oïl (Q3735)
Jê (Q148359)	Macro-Jê (Q88713)
Júma (jua) (jua, Q1295358)	Kagwahiva (Q634671)
Ka-Togo (Q597279)	Ghana–Togo Mountain (Q49302)
KaKiBa languages (Q1263281)	Ijo (ijo) (ijo, Q132202)
Kaamba (xku) (xku, Q1104232)	Kongo (Q642921)
Kaang Chin (ckn) (ckn, Q634343)	Kuki-Chin (Q83241)
Kaba (Q634371)	Bongo–Bagirmi (Q350504)
Kabalai (kvf) (kvf, Q344042)	East Chadic (Q227622)
Kabardian (Cyrillic) (kbd-Cyrl) (kbd-Cyrl, Q6436298)	Kabardian (kbd) (kbd, Q3352)
Kabardian (kbd) (kbd, Q3352)	Circassian (Q85854)
Kabardian (kbd) (kbd, Q3352)	Northwest Caucasian (Q3385)
Kabatei (xkp) (xkp, Q5431286)	Tati (Q3416)
Kabixiana (Q1530298)	Arikem (Q321736)
Kabiyè (kbp) (kbp, Q3547)	Gurunsi (Q72100)
Kabola (klz) (klz, Q1173225)	Alor–Pantar (Q350242)
Kabore One (onk) (onk, Q1295378)	One (Q709352)
Kabutra (kbu) (kbu, Q1096676)	Rajasthani (raj) (raj, Q1319)
Kabwa (cwa) (cwa, Q634453)	Great Lakes Bantu (Q559942)
Kabyle (kab) (kab, Q3585)	Berber [Other] (ber) (ber, Q2544)
Kabyle (kab) (kab, Q3585)	Northern Berber (Q274173)
Kachai (Q5561556)	Tangkhul (Q151665)
Kachama-Ganjule (kcx) (kcx, Q1263407)	Q3631 (Q3631)
Kachari (xac) (xac, Q344244)	Bodo–Garo (Q409000)
Kachi Koli (gjk) (gjk, Q1295364)	Central Indo-Aryan (Q1097918)
Kachin (kac) (kac, Q3333)	Kachin–Luic (Q151545)
Kachin–Luic (Q151545)	Sal (Q88990)
Kachok (xkk) (xkk, Q634476)	Bahnaric (Q5630)
Kacipo-Bale Suri (koe) (koe, Q536442)	Surmic (Q206692)
Kadai (kzd) (kzd, Q767947)	Central Maluku (Q321747)
Kadallu (Q8577328)	Gumuz (Q6262554)
Kadar (kej) (kej, Q634517)	Malayalam (Q674158)
Kadaru (kdu) (kdu, Q3544)	Q576221 (Q576221)
Kadavu (Q12402126)	Fijian (fj) (fj, Q3329)
Kadiwéu (kbc) (kbc, Q1816828)	Guaicuruan (Q197497)
Kadu (Q172098)	Niger-Kordofanian [Other] (nic) (nic, Q3383)
Kadu (Q172098)	Nilo-Saharan [Other] (ssa) (ssa, Q3370)
Kadu (zkd) (zkd, Q1295253)	Sal (Q88990)
Kadu (zkd) (zkd, Q5432445)	Kadu (zkd) (zkd, Q1295253)
Kadung (dkg) (dkg, Q10519868)	Vaghat-Ya-Bijim-Legeri (bij) (bij, Q3559)
Kaduo (ktp) (ktp, Q76980)	Bi-Ka (Q1262789)
Kaera (jka) (jka, Q1691092)	Alor–Pantar (Q350242)
Kafa (kbr) (kbr, Q3548)	Gonga (Q414304)
Kagan Kalagan (kll) (kll, Q1874891)	Mansakan (Q675155)
Kagare (Q8577329)	Kamuku (Q635982)
Kagate (syw) (syw, Q1295253)	Kyirong–Kagate (Q645095)
Kagayanen (cgc) (cgc, Q634642)	Manobo languages (mno) (mno, Q321748)
Kagoma (kdm) (kdm, Q391442)	Plateau (Q126747)
Kagoro (xkg) (xkg, Q1115952)	Mandingo (man) (man, Q3577)
Kagulu (kki) (kki, Q1173226)	Northeast Coast Bantu (Q705784)
Kagwahiva (Q634671)	Tupi–Guarani (Q14861)
Kahe (hka) (hka, Q389256)	Kilimanjaro-Taita (Q11652058)
Kahua (agw) (agw, Q319190)	Malaita-Makira (Q321747)
Kaian (kct) (kct, Q634753)	Ottilien (Q710947)
Kaibobo (kzb) (kzb, Q634756)	Piru Bay (Q719811)
Kaiep (kbw) (kbw, Q634763)	Schouten (Q339907)
Kaikadi (kep) (kep, Q634775)	Tamil languages (Q768141)
Kaikavian Literary Language (kjv) (kjv, Q3119987)	Kajkavian (Q83816)
Kaike (kzq) (kzq, Q1095122)	Tamangic (Q330943)
Kaili-Pamona-Wotu-Wolio (Q3531856)	Celebic (Q107804)
Kaili–Pamona (Q321746)	Western Malayo-Polynesian languages (pqw) (pqw, Q269939)
Kainantu (Q1547859)	Kainantu–Goroka (Q321746)
Kainantu–Goroka (Q321746)	Trans-New Guinea languages (ngf) (ngf, Q3401)
Kaingang (kgp) (kgp, Q266573)	Jê (Q148359)
Kainji (Q68149)	Benue–Congo (Q3325)
Kairiru (Q1263409)	Kairiru-Manam (Q1611319)
Kairiru (kxa) (kxa, Q339878)	Kairiru (Q1263409)
Kairiru-Manam (Q1611319)	Schouten (Q339907)
Kairui (Q10721252)	Kairui-Midiki (krd) (krd, Q1295327)
Kairui-Midiki (krd) (krd, Q1295327)	Timoric (Q780698)
Kais (kzm) (kzm, Q634831)	South Bird's Head (Q756633)
Kaitag (xdq) (xdq, Q199065)	Dargin (Q522263)
Kaiwá (kgk) (kgk, Q311188)	Tupi–Guarani (Q14861)
Kaiy (tcq) (tcq, Q634870)	Tariku (Q4700750)
Kajakse (ckq) (ckq, Q344042)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Kajali (xkj) (xkj, Q1491687)	Northwestern Iranian (Q39057)
Kajkavian (Q83816)	Western South Slavic (Q1068677)
Kakkala (Q6800316)	Tamil–Kannada (Q647850)
Kako (Q172188)	Bantu [Other] (bnt) (bnt, Q3314)
Kako (kkj) (kkj, Q3575)	Bantu [Other] (bnt) (bnt, Q3314)
Kakwa (keo) (keo, Q303354)	Bari (Q321737)
Kala Lagaw Ya (mwp) (mwp, Q259126)	Pama–Nyungan (Q3394)
Kalaamaya (lkm) (lkm, Q634998)	Mirning (Q687379)
Kalaamaya (lkm) (lkm, Q634998)	Nyungic (Q707131)
Kalabari (ijn) (ijn, Q3569)	KaKiBa languages (Q1263281)
Kalabra (kzz) (kzz, Q635003)	West Bird's Head (Q798447)
Kalagan (kqe) (kqe, Q1874890)	Q635009 (Q635009)
Kalaktang Monpa (kkf) (kkf, Q6325708)	Bodish (Q181407)
Kalam (Q635030)	Madang (Q1121755)
Kalamian (Q321746)	Philippine [Other] (phi) (phi, Q94785)
Kalanadi (wkl) (wkl, Q635051)	South Dravidian (Q1611284)
Kalanga (kck) (kck, Q3367)	Shona languages (Q290466)
Kalanguya (kak) (kak, Q319221)	Kallahan (Q635348)
Kalanguya (kak) (kak, Q319222)	Kallahan (Q635348)
Kalao (kly) (kly, Q635064)	Wotu–Wolio (Q104131)
Kalapuya (kyl) (kyl, Q319212)	Kalapuyan (Q156904)
Kalapuyan (Q156904)	Penutian (Q11548)
Kalapuyan (Q156904)	Q431606 (Q431606)
Kalapuyan (Q156904)	Q5173 (Q5173)
Kalarko (kba) (kba, Q551776)	Mirning (Q687379)
Kalarko (kba) (kba, Q551776)	Nyungic (Q707131)
Kalarko (kba) (kba, Q551776)	Q10916569 (Q10916569)
Kalenjin (kln) (kln, Q63722)	Southern Nilotic (Q155241)
Kalenjin (kln) (kln, Q739589)	Elgon (Q536009)
Kali (Q1692816)	Mbum (Q679981)
Kalinga (Q635287)	Northern Luzon (Q28930)
Kalispel-Pend d'Oreille (fla) (fla, Q311198)	Q5444038 (Q5444038)
Kalkatungic (Q635336)	Pama–Nyungan (Q3394)
Kalkutung (ktg) (ktg, Q391405)	Kalkatungic (Q635336)
Kallahan (Q635348)	Northern Luzon (Q28930)
Kalmyk (xal) (xal, Q3363)	Kalmyk (xal) (xal, Q5695)
Kalmyk (xal) (xal, Q5695)	Mongolian languages (xgn) (xgn, Q3375)
Kalo Finnish Romani (rmf) (rmf, Q209321)	Para-Romani (Q434503)
Kalo Finnish Romani (rmf) (rmf, Q209321)	Q705894 (Q705894)
Kaloeng (Q3905570)	Southwestern Tai (Q1088925)
Kalou (ywa) (ywa, Q635430)	Sepik (Q350877)
Kam (kdx) (kdx, Q3675)	Savannas (Q440367)
Kamakan (vkm) (vkm, Q319231)	Kamakã (Q313948)
Kamakã (Q313948)	Macro-Jê (Q88713)
Kamang (woi) (woi, Q802909)	Alor (Q1262677)
Kamano (kbq) (kbq, Q1173227)	Goroka (Q1547859)
Kamar (keq) (keq, Q1491687)	Halbic (Q1691059)
Kamara (jmr) (jmr, Q3556)	Oti-Volta Occidental (Q5446267)
Kamarian (kzx) (kzx, Q635604)	Piru Bay (Q719811)
Kamaru (kgx) (kgx, Q1295360)	Wotu–Wolio (Q104131)
Kamas (xas) (xas, Q3599)	Samoyedic languages (syd) (syd, Q3400)
Kamasa (klp) (klp, Q635610)	Angan (Q321736)
Kamasau (kms) (kms, Q635611)	Marienberg (Q157058)
Kamayo (kyk) (kyk, Q319233)	Mansakan (Q675155)
Kamayurá (kay) (kay, Q319233)	Tupi–Guarani (Q14861)
Kamba (kam) (kam, Q257476)	Central Kenya Bantu (Q11652057)
Kambaira (kyy) (kyy, Q635625)	Kainantu (Q1547859)
Kambari (Q635629)	Kainji (Q68149)
Kambera (xbr) (xbr, Q305327)	Sumba–Hawu (Q255265)
Kamberau (irx) (irx, Q635631)	Asmat–Kamoro (Q303140)
Kambojan (Q12338409)	Iranian [Other] (ira) (ira, Q3352)
Kamchatkan (Q260617)	Chukotko-Kamchatkan (Q3325)
Kami [Nigeria] (kmi) (kmi, Q391537)	Nupoid (Q142914)
Kami [Tanzania] (kcu) (kcu, Q391521)	Northeast Coast Bantu (Q705784)
Kamo (kcq) (kcq, Q391487)	Waja (Q796068)
Kamoro (kgq) (kgq, Q635900)	Asmat–Kamoro (Q303140)
Kamrupi (Q635969)	Assamese (as) (as, Q2940)
Kamu (xmu) (xmu, Q635977)	Eastern Daly (Q1987308)
Kamuku (Q635982)	Kainji (Q68149)
Kamurú (Q635986)	Karirí-Xocó (kzw) (kzw, Q344613)
Kamviri (xvi) (xvi, Q119349)	Nuristani (Q16180)
Kamwe (hig) (hig, Q5627)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Kam–Sui (Q102364)	Kam–Tai (Q492193)
Kam–Tai (Q492193)	Kra–Dai (Q3417)
Kanakanabu (xnb) (xnb, Q17224)	Tsouic (Q71665)
Kanamare (Q1529334)	Yine (pib) (pib, Q313543)
Kanamarí (knm) (knm, Q343837)	Katukinan (Q263600)
Kanan (zkn) (zkn, Q5454874)	Kadu (zkd) (zkd, Q1295253)
Kanashi (xns) (xns, Q636067)	West Himalayish (Q230169)
Kanauji (bjj) (bjj, Q272686)	Central Indo-Aryan (Q1097918)
Kanauji (bjj) (bjj, Q272686)	Western Hindi (Q1260093)
Kandas (kqw) (kqw, Q319259)	St George linkage (Q3032458)
Kande (kbs) (kbs, Q3555)	Bantu [Other] (bnt) (bnt, Q3314)
Kande (kbs) (kbs, Q3555)	Tsogo (Q245842)
Kandjerramalh (Q1987484)	Wagaydyic (Q2307390)
Kanela Apaniekra (Q3110457)	Canela (ram) (ram, Q293633)
Kanembu (kbl) (kbl, Q3552)	Kanuri (kr) (kr, Q3609)
Kanga (kcp) (kcp, Q636238)	Kadu (Q172098)
Kangean (kkv) (kkv, Q207132)	Maduro-Kangeanic (Q11708583)
Kanggape (igm) (igm, Q636274)	Ataitan (Q481265)
Kangjia (kxs) (kxs, Q318257)	Shirongolic (Q10753943)
Kango [Bas-Uélé District] (kty) (kty, Q636281)	Bati–Angba (Q486930)
Kango [Tshopo District] (kzy) (kzy, Q1100836)	Komo–Bira (Q642859)
Kangri (xnr) (xnr, Q233156)	Dogri (doi) (doi, Q558334)
Kanikkaran (kev) (kev, Q636320)	Tamil languages (Q768141)
Kanincin (Q11678997)	Bantu [Other] (bnt) (bnt, Q3314)
Kaningi (kzo) (kzo, Q3568)	Bantu [Other] (bnt) (bnt, Q3314)
Kaningra (knr) (knr, Q636325)	Alamblak (Q470583)
Kaninuwa (wat) (wat, Q1295256)	Are (Q1262719)
Kanjobal-Jacaltec (Q12312559)	Western Mayan (Q5682635)
Kanju (kbe) (kbe, Q1054332)	Paman (Q264065)
Kankanaey (Q3361)	Meso-Cordilleran (Q757150)
Kankanaey (kne) (kne, Q1875332)	Kankanaey (Q3361)
Kannada (kn) (kn, Q3367)	Kannada-Badaga (Q636388)
Kannada Kurumba (kfi) (kfi, Q5658)	Q6798310 (Q6798310)
Kannada-Badaga (Q636388)	Tamil–Kannada (Q647850)
Kanowit-Tanjong Melanau (kxn) (kxn, Q636430)	Malayo-Polynesian languages (poz) (poz, Q14315)
Kanoé (kxo) (kxo, Q435622)	Q5173 (Q5173)
Kansa (ksk) (ksk, Q319277)	Dhegihan (Q321742)
Kantu (Q1630654)	Katuic (Q5669)
Kanu (khx) (khx, Q1295257)	Lega (Q319658)
Kanufi (kni) (kni, Q391329)	Niger-Kordofanian [Other] (nic) (nic, Q3383)
Kanum (Q590864)	Papuan [Other] (paa) (paa, Q23642)
Kanuri (kr) (kr, Q1563721)	Kanuri (kr) (kr, Q3609)
Kanuri (kr) (kr, Q3609)	Saharan (Q175766)
Kanyara (Q636583)	Kanyara–Mantharta (Q636584)
Kanyara–Mantharta (Q636584)	Southwestern Paman (Q757143)
Kanyok (kny) (kny, Q1111076)	Luban (Q453650)
Kao (kax) (kax, Q319279)	North Halmahera (Q321735)
Kaonde (Q2550237)	Q12628807 (Q1262880)
Kaonde (kqn) (kqn, Q3360)	Luban (Q453650)
Kap (ykm) (ykm, Q804704)	Schouten (Q339907)
Kapin (tbx) (tbx, Q636666)	Buang (Q1262845)
Kapingamarangi (kpg) (kpg, Q3577)	Nuclear Polynesian (Q74385)
Kapong (Q5484165)	Cariban (Q3309)
Kapoxó (Q10738886)	Maxakalían (Q554752)
Kapriman (dju) (dju, Q636719)	Sepik Hill (Q745192)
Kapya (klo) (klo, Q636741)	Yukubenic (Q1690919)
Kaqchikel (cak) (cak, Q3511)	Quichean (Q727165)
Kara (Q636756)	Bongo–Bagirmi (Q350504)
Kara [Central African Republic] (kah) (kah, Q544374)	Bongo–Bagirmi (Q350504)
Kara [Papua New Guinea] (leu) (leu, Q319288)	Western Oceanic (Q270128)
Kara-Kalpak (kaa) (kaa, Q3354)	Kipchak–Nogai (Q432695)
Karaboro (Q421354)	Senufo (Q3379)
Karachay-Balkar (krc) (krc, Q3371)	Kipchak–Cuman (Q437041)
Karagas (kim) (kim, Q3684)	Sayan (Q440963)
Karagash (Q407173)	Nogai (nog) (nog, Q3387)
Karaim (kdr) (kdr, Q3372)	Kipchak–Cuman (Q437041)
Karaim (kdr) (kdr, Q3372)	Q61594 (Q61594)
Karajarri (gbd) (gbd, Q391383)	Marrngu (Q1615152)
Karajá (kpj) (kpj, Q1032206)	Macro-Jê (Q88713)
Karakhanid (xqa) (xqa, Q449488)	Old Uighur (oui) (oui, Q42829)
Karamba (Q4880353)	Arafundi (Q478370)
Karamojong (kdj) (kdj, Q5632)	Eastern Nilotic (Q15379)
Karang (kzr) (kzr, Q3568)	Mbum (Q679981)
Karanga (kth) (kth, Q71364)	Maban (Q3598)
Karankawa (zkk) (zkk, Q319294)	Q5173 (Q5173)
Karao (kyj) (kyj, Q319295)	Northern Luzon (Q28930)
Karas (kgv) (kgv, Q636862)	West Bomberai (Q798449)
Karata (kpt) (kpt, Q5663)	Andic (Q49215)
Karawa (xrw) (xrw, Q636885)	Ram (Q728861)
Karbi (mjw) (mjw, Q5659)	Kuki-Chin–Naga (Q152124)
Karekare (kai) (kai, Q343877)	Bole–Tangale (Q351476)
Karelian (krl) (krl, Q3355)	Northern Finnic (Q9721965)
Karen (kar) (kar, Q136481)	Sino-Tibetan [Other] (sit) (sit, Q4596)
Karenggapa (eaa) (eaa, Q5733735)	Karnic (Q421557)
Karey (kyd) (kyd, Q637019)	Q24286911 (Q2428691)
Kari (kbj) (kbj, Q637043)	Boan (Q493125)
Kariaí (Q1692025)	Bahuanaic (Q3532311)
Kariaí (Q1692025)	Central Arawakan (Q9795921)
Karingani (kgn) (kgn, Q637104)	Tati (Q3416)
Karipuna (kuq) (kuq, Q637107)	Tupi–Guarani (Q14861)
Karipúna Creole French (kmv) (kmv, Q252399)	Q1262681 (Q1262681)
Karirí-Xocó (kzw) (kzw, Q344613)	Macro-Jê (Q88713)
Karitiâna (ktn) (ktn, Q311218)	Arikem (Q321736)
Kariya (kil) (kil, Q343870)	Chadic languages (cdc) (cdc, Q3318)
Kariyarra (vka) (vka, Q1358663)	Ngayarda (Q1615349)
Karkar-Yuri (yuj) (yuj, Q299290)	Eastern Pauwasi (Q1611549)
Karkin (krb) (krb, Q319334)	Ohlone (Q261257)
Karko (kko) (kko, Q3552)	Q576221 (Q576221)
Karluk (Q70317)	Common Turkic (Q112602)
Karluk-Kipchak (Q421532)	Turkic languages (trk) (trk, Q3409)
Karnic (Q421557)	Pama–Nyungan (Q3394)
Karo [Brazil] (arr) (arr, Q3553)	Tupi languages (tup) (tup, Q3407)
Karo [Ethiopia] (kxh) (kxh, Q344711)	South Omotic (Q369952)
Karok (kyh) (kyh, Q128844)	Hokan languages (hok) (hok, Q3340)
Karok (kyh) (kyh, Q128844)	Q5173 (Q5173)
Karon (krx) (krx, Q3570)	Bak (Q170817)
Karon Dori (kgw) (kgw, Q5681)	Mai Brat (Q673510)
Karore (xkx) (xkx, Q637326)	Pasismanua (Q2052656)
Karto-Zan (Q1290700)	South Caucasian languages (ccs) (ccs, Q3403)
Kartu (Q637358)	South-West Pama-Nyungan (Q225816)
Kartutjarra (Q10655489)	Wati (Q797466)
Karuwali (rxw) (rxw, Q688157)	Karnic (Q421557)
Kasai-Ngounie (Q11670209)	Boma–Dzing (Q172920)
Kasai-Ngounie (Q11670209)	Teke (Q3652)
Kasanga (ccj) (ccj, Q3554)	Nun (Q2052739)
Kasem (xsm) (xsm, Q3555)	Gurunsi (Q72100)
Kashaya (kju) (kju, Q319368)	Pomoan (Q261842)
Kashubian (csb) (csb, Q3369)	Lechitic (Q74278)
Kasiguranin (ksn) (ksn, Q637452)	Tagalogic (Q12445747)
Kaska (kkz) (kkz, Q2082)	Northern Athabaskan (Q2073)
Kasong (Q2510062)	Pearic (Q307302)
Katabaga (ktq) (ktq, Q319389)	Western Malayo-Polynesian languages (pqw) (pqw, Q269939)
Katawixi (xat) (xat, Q344051)	Katukinan (Q263600)
Katbol (tmb) (tmb, Q215746)	Malekula Interior (Q215747)
Katchal (Q1706426)	Central Nicobarese (ncb) (ncb, Q333555)
Katembri (Q637592)	Katembri–Taruma (Q637592)
Katharevousa (Q3596)	Greek (el) (el, Q3651)
Kathlamet (Q637663)	Chinookan (Q61058)
Kathoriya Tharu (tkt) (tkt, Q2208382)	Tharu (Q3403)
Kathu (ykt) (ykt, Q637715)	Mondzish (Q689883)
Kati (bsh) (bsh, Q260504)	Nuristani (Q16180)
Katla (kcr) (kcr, Q3568)	Katla (Q637768)
Kato (ktw) (ktw, Q2083)	Pacific Coast Athabaskan (Q2065)
Katso (kaf) (kaf, Q24612)	Kazhuoish (Q4883466)
Katuic (Q5669)	Austro-Asiatic languages (aav) (aav, Q3319)
Katukinan (Q263600)	Harákmbut–Katukinan (Q1710763)
Katukína (kav) (kav, Q345063)	Yine (pib) (pib, Q313543)
Kaugel (Q637869)	Chimbu–Wahgi (Q321738)
Kaulong (pss) (pss, Q319429)	Pasismanua (Q2052656)
Kaur (vkk) (vkk, Q637886)	Central Malay (pse) (pse, Q336775)
Kaure (bpp) (bpp, Q2052653)	Kaure-Narau (Q1263433)
Kaure (bpp) (bpp, Q696545)	Kaure-Narau (Q1263433)
Kaurna (zku) (zku, Q637889)	Thura-Yura (Q779923)
Kauwera (xau) (xau, Q637898)	Kwerba (Q1263513)
Kavalan (ckv) (ckv, Q71662)	East Formosan (Q71667)
Kavango (Q11654417)	Kavango – Southwest Bantu (Q637909)
Kavango – Southwest Bantu (Q637909)	Njila (Q11652704)
Kavet (krv) (krv, Q1295364)	Brao-Kravet (Q1262831)
Kawacha (kcb) (kcb, Q1173230)	Angan (Q321736)
Kawaiisu (xaw) (xaw, Q5633)	Numic (Q265754)
Kawaimina (Q173727)	Timoric (Q780698)
Kawe (kgb) (kgb, Q1295275)	Raja Ampat (Q321751)
Kawi (kaw) (kaw, Q4934)	Malayo-Polynesian languages (poz) (poz, Q14315)
Kawishana (Q637999)	Upper Amazon Arawakan (Q789845)
Kaxabu (Q478288)	Pazeh (pzh) (pzh, Q3643)
Kaxararí (ktx) (ktx, Q638012)	Panoan (Q154453)
Kaxuiâna (kbb) (kbb, Q1295362)	Cariban (Q3309)
Kayabí (kyz) (kyz, Q638037)	Tupi–Guarani (Q14861)
Kayagar (Q638039)	Trans-New Guinea languages (ngf) (ngf, Q3401)
Kayagar (kyt) (kyt, Q638039)	Kayagar (Q638039)
Kayan (pdu) (pdu, Q712328)	Karen (kar) (kar, Q136481)
Kayan River Kayan (xkn) (xkn, Q1247339)	Kayanic (Q1295259)
Kayan–Murik (Q321746)	Greater North Borneo (Q142790)
Kayapó (txu) (txu, Q310121)	Jê (Q148359)
Kayardild (gyd) (gyd, Q391377)	Tangkic (Q182306)
Kayaw (kvl) (kvl, Q1295257)	Karen (kar) (kar, Q136481)
Kayeli (kzl) (kzl, Q420744)	Austronesian [Other] (map) (map, Q4922)
Kaytetye (gbb) (gbb, Q638070)	Arandic (Q478407)
Kayupulau (kzu) (kzu, Q638072)	Sarmi–Jayapura (Q321752)
Kazakh (Arabic) (kk-Arab) (kk-Arab, Q6436299)	Kazakh (kk) (kk, Q925)
Kazakh (China) (kk-CN) (kk-CN, Q6442734)	Kazakh (kk) (kk, Q925)
Kazakh (Cyrillic) (kk-Cyrl) (kk-Cyrl, Q6436299)	Kazakh (kk) (kk, Q925)
Kazakh (Kazakhstan) (kk-KZ) (kk-KZ, Q6442735)	Kazakh (kk) (kk, Q925)
Kazakh (Latin) (kk-Latn) (kk-Latn, Q6436299)	Kazakh (kk) (kk, Q925)
Kazakh (Türkiye) (kk-TR) (kk-TR, Q6442735)	Kazakh (kk) (kk, Q925)
Kazakh (kk) (kk, Q925)	Kipchak (Q133989)
Kazakh (kk) (kk, Q925)	Kipchak–Nogai (Q432695)
Kazhuoish (Q4883466)	Ni-Li-Kazhouish (Q3033451)
Kazukuru (kzk) (kzk, Q108906)	Western Oceanic (Q270128)
Kazukuru (kzk) (kzk, Q312076)	Kazukuru (kzk) (kzk, Q108906)
Kazukuru (kzk) (kzk, Q5692)	Kazukuru (kzk) (kzk, Q108906)
Ke'o (xxk) (xxk, Q319534)	Sumba–Hawu (Q255265)
Keak (keh) (keh, Q638211)	Kwaruwi Kwundi (Q6238862)
Kebu-Animere (Q1263438)	Ka-Togo (Q597279)
Kebwe (Q638244)	Luban (Q453650)
Kedah Malay (meo) (meo, Q492568)	Malay (Malaysia) (ms-MY) (ms-MY, Q1506)
Kedang (ksx) (ksx, Q638252)	Flores–Lembata (Q1704337)
Keder (kdy) (kdy, Q638364)	Orya–Tor (Q1659009)
Kedu Javanese (Q1974600)	Javanese (jv) (jv, Q3354)
Keerray-Woorroong (Q6331374)	Pama–Nyungan (Q3394)
Kei (kei) (kei, Q241035)	Kei-Fordata (Q3031719)
Kei-Fordata (Q3031719)	Kei-Tanimbar (Q638531)
Kei-Tanimbar (Q638531)	Central Malayo-Polynesian languages (plf) (plf, Q252667)
Kei-Tanimbar (Q638531)	Q30317210 (Q3031721)
Keiga (kec) (kec, Q340931)	Kadu (Q172098)
Keiga Jirru (Q1693704)	Temein (Q24190)
Kein (bmh) (bmh, Q638376)	Kokon (Q642677)
Keiyo (eyo) (eyo, Q5685)	Kalenjin (kln) (kln, Q63722)
Kekchí (kek) (kek, Q3553)	Quichean (Q727165)
Kela [Democratic Republic of Congo] (kel) (kel, Q638542)	Kela-Yela (Q3215133)
Kela [Papua New Guinea] (kcl) (kcl, Q634998)	North Huon Gulf (Q705567)
Kela-Yela (Q3215133)	Bangi–Tetela (Q485518)
Kelabit (kzi) (kzi, Q638544)	Apo Duat (Q478004)
Kele (Q173816)	Kele–Tsogo (Q638557)
Kele [Democratic Republic of Congo] (khy) (khy, Q638554)	Soko (Q755513)
Kele [Papua New Guinea] (sbc) (sbc, Q319484)	Manus (Q1705348)
Keley-I Kallahan (ify) (ify, Q319222)	Kallahan (Q635348)
Kele–Tsogo (Q638557)	Northwest Bantu (Q705996)
Keliko (kbo) (kbo, Q1127555)	Nilo-Saharan [Other] (ssa) (ssa, Q3370)
Kelo (xel) (xel, Q638641)	Aka-Kelo-Molo (Q1262664)
Kelon (kyo) (kyo, Q638641)	Alor (Q1262677)
Kemak (kem) (kem, Q3554)	Timoric (Q780698)
Kemi Sami (sjk) (sjk, Q3587)	Eastern Sami (Q350126)
Kemiehua (kfj) (kfj, Q2714477)	Khasi–Khmuic (Q321749)
Kendayan (knx) (knx, Q638896)	Coastal Dayak (Q11708822)
Kendeje (klf) (klf, Q5689)	Maban (Q3598)
Kendem (kvm) (kvm, Q3575)	Mamfe (Q200589)
Kene (Q6238841)	North and Central Vanuatu (Q307030)
Keningau Murut (kxi) (kxi, Q638930)	Murutic (Q321749)
Kensiu (kns) (kns, Q639152)	Jahaic (Q612301)
Kenyah (Q639284)	North Sarawakan (Q53856)
Kenyang (ken) (ken, Q3565)	Mamfe (Q200589)
Kenyi (lke) (lke, Q1295262)	North Nyanza (Q11198228)
Kenzi (xnz) (xnz, Q2063985)	Andaandi (dgl) (dgl, Q529599)
Kepkiriwát (kpn) (kpn, Q319536)	Tuparí (Q204035)
Kepo' (kuk) (kuk, Q639321)	Bima-Lembata (Q3030757)
Kera (ker) (ker, Q5625)	East Chadic (Q227622)
Kerak (hhr) (hhr, Q1101078)	Her-Ejamat (Q1263221)
Kerek (krk) (krk, Q33279)	Q260673 (Q260673)
Keresan (Q3587)	Q5173 (Q5173)
Kerewe (ked) (ked, Q639384)	West Nyanza (Q11199247)
Kerinci (kvr) (kvr, Q319544)	Malayic (Q66262)
Kerincian (Q11727351)	Western Sumatran (Q11727352)
Kesha'i (Q6238842)	Northwestern Iranian (Q39057)
Ket (ket) (ket, Q3348)	Yeniseian (Q2763)
Ketangalan (kae) (kae, Q277941)	East Formosan (Q71667)
Kete (kcv) (kcv, Q319559)	Bantu [Other] (bnt) (bnt, Q3314)
Ketengban (xte) (xte, Q1099015)	Mek (Q681051)
Ketum (ktt) (ktt, Q1295261)	Awyu (Q1262742)
Kewa (Q639791)	Engan (Q321744)
Kgalagadi (xkv) (xkv, Q208874)	Sotho–Tswana (Q203838)
Khakas (kjh) (kjh, Q3357)	Yenisei Turkic (Q449489)
Khakas (kjh) (kjh, Q94925)	Kamas (xas) (xas, Q3599)
Khalaj (klj) (klj, Q3345)	Arghu (Q64688)
Khaling (klr) (klr, Q5638)	Kiranti (Q92214)
Khalong Tibetan (Q639983)	Q164115 (Q164115)
Khalsa bole (Q11727333)	Q265668 (Q265668)
Kham (Q3330)	Magaric (Q106436)
Kham-Magar-Chepang-Sunwari (Q1611433)	Mahakiranti (Q99907)
Khamba (kbg) (kbg, Q1295262)	Q164115 (Q164115)
Khamnigan Mongol (ykh) (ykh, Q319605)	Mongolian languages (xgn) (xgn, Q3375)
Khams Tibetan (khg) (khg, Q5660)	Q164115 (Q164115)
Khamti (kht) (kht, Q391550)	Southwestern Tai (Q1088925)
